feature,importance
active_days,0.14328756040466195
observation_span_days,0.1396428761495972
total_sessions,0.12359600638085451
total_waves_survived,0.07229044266327248
avg_win_base_hp,0.038745219573768114
stuck_level_count,0.03704982975589997
d3_active_days,0.03686330090932145
avg_base_hp_ratio,0.034865674008262695
avg_map_clear_rate_played,0.029353696496790472
max_session_gap_s,0.029170145809834944
max_map_reached,0.02516420524781615
avg_session_gap_s,0.020567586908525556
avg_map_retry_rate_played,0.019422399814748983
max_consecutive_fail,0.01704056479449306
d3_max_map,0.015570446723993102
d3_stuck_count,0.014747207335155228
avg_consecutive_fail,0.013542932213730397
avg_battle_duration,0.012044195071768234
d3_special_rate,0.01176206360407271
d1_battles,0.011145099902793545
